título,precio,habitaciones,área,ascensor
"Chalet en calle del Puig de Pollença, La Bonanova - Porto Pi, Palma de Mallorca",1.760.000€,4 hab.,390 m²,False
"Ático en calle Can Savella, Cort, Palma de Mallorca",1.585.000€,3 hab.,239 m²,True
"Piso en Coll d'En Rabassa, Palma de Mallorca",980.000€,3 hab.,147 m²,True
"Piso en Sa Indiotería - Son Castelló, Palma de Mallorca",198.000€,4 hab.,101 m²,True
"Piso en Sa Indiotería - Son Castelló, Palma de Mallorca",198.000€,4 hab.,101 m²,True
"Piso en Camp d'En Serralta , Palma de Mallorca",325.000€,4 hab.,103 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",2.780.000€,6 hab.,350 m²,False
"Piso en Son Xigala, Palma de Mallorca",370.000€,3 hab.,90 m²,True
"Finca rústica en Sa Casa Blanca, Palma de Mallorca",470.000€,4 hab.,700 m²,False
"Piso en Son Armadams, Palma de Mallorca",423.000€,3 hab.,128 m²,True
"Piso en Pere Garau, Palma de Mallorca",380.000€,4 hab.,230 m²,True
"Chalet pareado en Son Cladera - Son Fuster, Palma de Mallorca",450.000€,4 hab.,143 m²,False
"Casa o chalet independiente en Ses Cadenes-Arenal, Palma de Mallorca",550.000€,3 hab.,174 m²,False
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",290.000€,2 hab.,85 m²,True
"Piso en calle de Despuig, Sta Catalina - El Jonquet, Palma de Mallorca",330.000€,2 hab.,98 m²,True
"Ático en Son Espanyolet, Palma de Mallorca",1.150.000€,4 hab.,242 m²,True
"Ático en calle de Georges Bernanos, El Terreno, Palma de Mallorca",580.000€,2 hab.,103 m²,True
"Piso en Les Maravelles, Palma de Mallorca",465.000€,3 hab.,120 m²,True
"Piso en calle Catalunya, Camp d'En Serralta , Palma de Mallorca",780.000€,3 hab.,164 m²,True
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",725.000€,4 hab.,231 m²,True
"Piso en El Terreno, Palma de Mallorca",445.000€,3 hab.,149 m²,True
"Finca rústica en Son Ferriol, Palma de Mallorca",450.000€,3 hab.,164 m²,False
"Piso en Son Armadams, Palma de Mallorca",490.000€,3 hab.,125 m²,True
"Dúplex en Son Dameto, Palma de Mallorca",362.000€,3 hab.,125 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",11.000.000€,15 hab.,7.593 m²,False
"Piso en Foners, Palma de Mallorca",360.000€,4 hab.,135 m²,True
"Piso en Sant Jaume, Palma de Mallorca",775.000€,4 hab.,161 m²,True
"Ático en Portixol-Molinar, Palma de Mallorca",845.000€,4 hab.,184 m²,True
"Ático en La Bonanova - Porto Pi, Palma de Mallorca",790.000€,4 hab.,201 m²,True
"Casa o chalet independiente en calle de la Singladura, Can Pastilla, Palma de Mallorca",1.800.000€,5 hab.,410 m²,False
"Piso en calle de la Mar Aràbiga, Les Maravelles, Palma de Mallorca",298.500€,3 hab.,120 m²,True
"Piso en Marqués de la Fontsanta, Palma de Mallorca",298.000€,4 hab.,123 m²,True
"Piso en Son Ferriol, Palma de Mallorca",276.000€,3 hab.,82 m²,True
"Ático en La Bonanova - Porto Pi, Palma de Mallorca",1.499.900€,3 hab.,380 m²,True
"Casa o chalet independiente en Son Dureta, Palma de Mallorca",2.995.000€,4 hab.,476 m²,False
"Ático en Sant Jaume, Palma de Mallorca",1.250.000€,5 hab.,227 m²,True
"Piso en Sant Jaume, Palma de Mallorca",1.285.000€,4 hab.,203 m²,True
"Ático en La Missio - Mercat, Palma de Mallorca",1.495.000€,2 hab.,174 m²,True
"Ático en Zona Colegios - Son Moix, Palma de Mallorca",1.200.000€,4 hab.,469 m²,True
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",795.000€,4 hab.,190 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",520.000€,2 hab.,115 m²,True
"Piso en Camp d'En Serralta , Palma de Mallorca",465.000€,3 hab.,125 m²,True
